Position,weekday
"59.953053,30.028521,back",6
"60.068127,29.904226,back",6
"60.182472,29.780365,back",6
"60.296307,29.656614,back",6
"60.401196,29.538803,back",6
"60.505352,29.412231,back",6
"60.607048,29.290714,back",6
"60.707386,29.171036,back",6
"60.80954,29.048643,back",6
"60.922367,28.922346,back",6
"61.038639,28.799589,back",6
"61.153458,28.6779,back",6
"61.269062,28.554977,back",6
"61.380089,28.436829,back",6
"61.497532,28.311441,back",6
"61.624058,28.201813,back",6
"61.77914,28.108427,back",6
"61.946888,28.028732,back",6
"62.106346,27.95224,back",6
"62.274891,27.871429,back",6
"62.443016,27.790337,back",6
"62.602844,27.713013,back",6
"62.770386,27.631714,back",6
"62.929848,27.553757,back",6
"63.096813,27.47168,back",6
"63.256371,27.39292,back",6
"63.426975,27.308441,back",6
"63.588451,27.228195,back",6
"63.755371,27.144836,back",6
"63.915077,27.064913,back",6
"64.076492,26.976742,back",6
"64.207169,26.874701,back",6
"64.329918,26.746727,back",6
"64.441521,26.627693,back",6
"64.549706,26.511246,back",6
"64.662468,26.389526,back",6
"64.777718,26.264772,back",6
"64.8843,26.148905,back",6
"65.002457,26.029451,back",6
"65.147026,25.925266,back",6
"65.305321,25.844219,back",6
"65.463333,25.76671,back",6
"65.629021,25.685623,back",6
"65.784859,25.609085,back",6
"65.905708,25.549622,back",6
"66.083542,25.461794,back",6
"66.277412,25.365646,back",6
"66.517448,25.246117,back",6
"66.683693,25.162882,back",6
"66.845222,25.081974,back",6
"67.005463,25.00145,back",6
"67.174683,24.915939,back",6
"67.342461,24.8325,back",6
"67.500816,24.753891,back",6
"67.669197,24.669893,back",6
"67.836357,24.586624,back",6
"67.994385,24.507523,back",6
"68.152962,24.427868,back",6
"68.312782,24.347332,back",6
"68.471779,24.266968,back",6
"68.631645,24.18589,back",6
"68.794762,24.113983,back",6
"68.988541,24.060104,back",6
"69.162849,24.014236,back",6
"69.340919,23.967545,back",6
"69.366539,23.96081,back",6
"69.665703,23.881763,back",6
"69.857483,23.830856,back",6
"70.029655,23.784805,back",6
"70.215233,23.734798,back",6
"70.389763,23.687668,back",6
"70.554665,23.642998,back",6
"70.78878,23.578949,back",6
"70.870918,23.556473,back",6
"71.133118,23.484627,back",6
"71.302185,23.438494,back",6
"71.415977,23.407196,back",6
"71.66851,23.337433,back",6
"71.848854,23.287338,back",6
"72.029518,23.236876,back",6
"72.202049,23.188461,back",6
"72.383774,23.137299,back",6
"72.556,23.08856,back",6
"72.737732,23.036865,back",6
"72.910667,22.987448,back",6
"73.092491,22.93515,back",6
"73.265427,22.885208,back",6
"73.445999,22.83284,back",6
"73.625076,22.780426,back",6
"73.796967,22.730164,back",6
"73.97522,22.67783,back",6
"74.149727,22.626297,back",6
